KorEXO Calibration File Export

Last Calibration Time=,1/12/2023 12:42:32 PM
Calibration Start Time=,4/14/2023 10:21:31 AM
Calibration End Time=,4/14/2023 10:34:11 AM
Calibration Status=,Completed
QC Score=,Good
Instrument Type=,EXO2
Instrument Name=,Sonde 19G102539
Instrument Serial Number=,19G102539
Instrument Firmware Version=,1.0.86
Parameter Type=,Depth (m)
Sensor Type=,Depth
Sensor Serial Number=,19G100819
Sensor Firmware Version=,3.1.3
User ID=,<Unknown>

[Cal Point 1]
Standard=,0.000 m
Pre Calibration Value=,0.266 m
Post Calibration Value=,0.000 m
Raw Value=,0.000 m
Temperature=,3.602 °C
Stability Achieved=,Yes

----------
