KorEXO Calibration File Export

Last Calibration Time=,6/5/2020 2:35:39 PM
Calibration Start Time=,7/23/2020 1:46:32 PM
Calibration End Time=,7/23/2020 1:57:14 PM
Calibration Status=,Completed
QC Score=,Good
Instrument Type=,EXO2
Instrument Name=,Sonde 19G102539
Instrument Serial Number=,19G102539
Instrument Firmware Version=,1.0.73
Parameter Type=,Cond (µS/cm)
Sensor Type=,Wiped Conductivity And Temperature
Sensor Serial Number=,19F100067
Sensor Firmware Version=,3.0.5
User ID=,<Unknown>
Cell Constant=,0.49

[Cal Point 1]
Standard=,1000.0 µS/cm
Pre Calibration Value=,991.2 µS/cm
Post Calibration Value=,1000.0 µS/cm
Raw Value=,0.0 µS/cm
Temperature=,22.607 °C
Stability Achieved=,Yes

----------

Last Calibration Time=,6/5/2020 3:04:10 PM
Calibration Start Time=,7/23/2020 2:06:10 PM
Calibration End Time=,7/23/2020 2:12:07 PM
Calibration Status=,Completed
QC Score=,Good
Instrument Type=,EXO2
Instrument Name=,Sonde 19G102539
Instrument Serial Number=,19G102539
Instrument Firmware Version=,1.0.73
Parameter Type=,Turbidity (FNU)
Sensor Type=,Turbidity
Sensor Serial Number=,19G100122
Sensor Firmware Version=,3.0.0
User ID=,<Unknown>

[Cal Point 1]
Standard=,0.00 FNU
Pre Calibration Value=,1.73 FNU
Post Calibration Value=,0.00 FNU
Raw Value=,0.00 FNU
Temperature=,22.544 °C
Stability Achieved=,Yes

[Cal Point 2]
Standard=,124.00 FNU
Pre Calibration Value=,126.41 FNU
Post Calibration Value=,124.00 FNU
Raw Value=,0.00 FNU
Temperature=,22.553 °C
Stability Achieved=,Yes

----------

Last Calibration Time=,6/5/2020 3:31:52 PM
Calibration Start Time=,7/23/2020 2:18:25 PM
Calibration End Time=,7/23/2020 2:37:20 PM
Calibration Status=,CompletedWithWarnings
QC Score=,Bad
Instrument Type=,EXO2
Instrument Name=,Sonde 19G102539
Instrument Serial Number=,19G102539
Instrument Firmware Version=,1.0.73
Parameter Type=,pH
Sensor Type=,pH
Sensor Serial Number=,19G103267
Sensor Firmware Version=,3.0.0
User ID=,<Unknown>
Sensor Module Replacement Date=,<Unknown>
pH Range 4.00-7.02 Delta Slope=,0.0 mV
pH Range 4.00-7.02 mV per Decade=,0.00
pH Range 7.02-10.03 Delta Slope=,0.0 mV
pH Range 7.02-10.03 mV per Decade=,0.00

[Cal Point 1]
Standard=,7.02 pH
Pre Calibration Value=,-3.65 pH
Post Calibration Value=,7.02 pH
Raw Value=,607.2 mV
Temperature=,22.712 °C
Stability Achieved=,Yes

[Cal Point 2]
Standard=,4.00 pH
Pre Calibration Value=,-3.65 pH
Post Calibration Value=,NaN pH
Raw Value=,607.2 mV
Temperature=,22.809 °C
Stability Achieved=,Yes

[Cal Point 3]
Standard=,10.03 pH
Pre Calibration Value=,-3.66 pH
Post Calibration Value=,NaN pH
Raw Value=,607.2 mV
Temperature=,22.634 °C
Stability Achieved=,Yes

----------

Last Calibration Time=,6/5/2020 4:23:25 PM
Calibration Start Time=,7/23/2020 2:57:46 PM
Calibration End Time=,7/23/2020 3:15:52 PM
Calibration Status=,CompletedWithWarnings
QC Score=,Warning
Instrument Type=,EXO2
Instrument Name=,Sonde 19G102539
Instrument Serial Number=,19G102539
Instrument Firmware Version=,1.0.73
Parameter Type=,DO (% Sat)
Sensor Type=,DO
Sensor Serial Number=,19G101573
Sensor Firmware Version=,3.0.0
User ID=,<Unknown>
DO Cap Serial Number=,19F102932
DO Cap Replacement Date=,7/9/2019 2:51:37 PM
DO Gain=,1.42
