KorEXO Calibration File Export

Last Calibration Time=,11/2/2022 1:17:25 PM
Calibration Start Time=,4/13/2023 3:49:58 PM
Calibration End Time=,4/13/2023 3:57:21 PM
Calibration Status=,CompletedWithWarnings
QC Score=,Bad
Instrument Type=,EXO2
Instrument Name=,Sonde 19G102539
Instrument Serial Number=,19G102539
Instrument Firmware Version=,1.0.86
Parameter Type=,fDOM (RFU)
Sensor Type=,fDOM
Sensor Serial Number=,19F100722
Sensor Firmware Version=,3.0.0
User ID=,<Unknown>

[Cal Point 1]
Standard=,0.00 RFU
Pre Calibration Value=,0.12 RFU
Post Calibration Value=,0.00 RFU
Raw Value=,0.00 RFU
Temperature=,20.324 °C
Stability Achieved=,Yes

[Cal Point 2]
Standard=,100.00 RFU
Pre Calibration Value=,66.65 RFU
Post Calibration Value=,100.00 RFU
Raw Value=,0.00 RFU
Temperature=,19.625 °C
Stability Achieved=,Yes

----------

Last Calibration Time=,11/2/2022 1:22:32 PM
Calibration Start Time=,4/13/2023 3:58:55 PM
Calibration End Time=,4/13/2023 4:01:29 PM
Calibration Status=,Completed
QC Score=,Warning
Instrument Type=,EXO2
Instrument Name=,Sonde 19G102539
Instrument Serial Number=,19G102539
Instrument Firmware Version=,1.0.86
Parameter Type=,fDOM (QSU)
Sensor Type=,fDOM
Sensor Serial Number=,19F100722
Sensor Firmware Version=,3.0.0
User ID=,<Unknown>

[Cal Point 1]
Standard=,0.00 QSU
Pre Calibration Value=,0.56 QSU
Post Calibration Value=,0.00 QSU
Raw Value=,0.00 QSU
Temperature=,21.130 °C
Stability Achieved=,Yes

[Cal Point 2]
Standard=,300.00 QSU
Pre Calibration Value=,217.59 QSU
Post Calibration Value=,300.00 QSU
Raw Value=,0.00 QSU
Temperature=,19.956 °C
Stability Achieved=,Yes

----------

Last Calibration Time=,11/2/2022 1:08:33 PM
Calibration Start Time=,4/13/2023 4:07:19 PM
Calibration End Time=,4/13/2023 4:12:22 PM
Calibration Status=,Completed
QC Score=,Warning
Instrument Type=,EXO2
Instrument Name=,Sonde 19G102539
